userId,displayName,userUrl,joinDate,joinTime,comp_tier,dataset_tier,notebook_tier,discuss_tier,final_tier,comp_currentRanking,dataset_currentRanking,notebook_currentRanking,discuss_currentRanking,comp_points,dataset_points,notebook_points,discuss_points,comp_GoldMedals,comp_SilverMedals,comp_BronzeMedals,dataset_GoldMedals,dataset_SilverMedals,dataset_BronzeMedals,notebook_GoldMedals,notebook_SilverMedals,notebook_BronzeMedals,discuss_GoldMedals,discuss_SilverMedals,discuss_BronzeMedals
1134433,NguyenThanhNhan,/andy2709,20-06-2017,24:13.9,1,Unranked,Unranked,3,1,99,Unranked,Unranked,590,39778,Unranked,Unranked,126,8,15,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,10,11,40
1270958,Prashant Kikani,/prashantkikani,16-09-2017,09:25.4,2,Unranked,2,3,2,100,Unranked,770,1457,39656,Unranked,116,44,1,2,17,Unranked,Unranked,Unranked,5,12,16,5,6,130
1030546,LiamKirwin,/lpkirwin,18-04-2017,33:17.2,2,Unranked,Unranked,Unranked,2,101,Unranked,Unranked,Unranked,39589,Unranked,Unranked,Unranked,2,3,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
3460291,YujiAriyasu,/yujiariyasu,14-07-2019,55:39.8,2,Unranked,Unranked,3,2,102,Unranked,Unranked,291,39526,Unranked,Unranked,244,4,3,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,11,5,65
4679687,Tifo,/fankaixie,16-03-2020,00:55.4,2,Unranked,Unranked,Unranked,2,103,Unranked,Unranked,Unranked,39255,Unranked,Unranked,Unranked,2,1,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
413189,Manoj Prabhakar,/manojprabhaakr,05-09-2015,59:02.1,3,Unranked,3,3,3,104,Unranked,790,805,39236,Unranked,114,92,0,4,19,Unranked,Unranked,Unranked,1,5,6,4,11,227
644036,Rob Mulla,/robikscube,18-06-2016,07:06.3,1,2,1,1,1,105,21,9,47,39159,445,1893,921,5,13,12,2,4,24,29,20,59,78,63,650
1305825,Shiro,/ludovick,02-10-2017,49:28.8,1,3,3,3,1,106,576,1047,1108,39027,26,88,64,5,7,4,0,1,5,2,1,4,3,6,81
1904629,Patrick Yam,/wimwim,11-05-2018,03:32.5,2,Unranked,Unranked,Unranked,2,107,Unranked,Unranked,Unranked,38743,Unranked,Unranked,Unranked,3,10,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
18102,beluga,/gaborfodor,05-10-2011,49:08.0,1,3,2,1,1,108,414,454,174,38619,36,192,380,14,13,12,1,0,2,12,14,29,57,97,383
2938236,K_mat,/kmat2019,14-03-2019,59:15.4,3,Unranked,3,3,3,109,Unranked,682,320,38579,Unranked,132,225,1,1,0,Unranked,Unranked,Unranked,6,1,2,5,4,56
5305958,Dora-ironman,/imgyukim,15-06-2020,38:54.4,3,Unranked,Unranked,Unranked,3,110,Unranked,Unranked,Unranked,38497,Unranked,Unranked,Unranked,1,0,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
